Combined,AJDEM,ADJOE,ADJDE,,D1,AJDEM,ADJOE,ADJDE,,D2,AJDEM,ADJOE,ADJDE,,D3,AJDEM,ADJOE,ADJDE
Auburn,1.0233,1.7586,0.7353,,Auburn,0.9949,1.7454,0.7505,,Colo. Sch. of Mines,0.5395,1.5168,0.9773,,Connecticut Col.,0.6953,1.472,0.7767
Houston,0.7857,1.4796,0.6939,,Houston,0.7636,1.4711,0.7075,,Lubbock Christian,0.4895,1.3764,0.8869,,TCNJ,0.539,1.4188,0.8798
Tennessee,0.7507,1.5145,0.7638,,Iowa St.,0.6807,1.3565,0.6758,,Daemen,0.4243,1.2507,0.8264,,Va. Wesleyan,0.4766,1.1208,0.6442
Iowa St.,0.7015,1.3728,0.6713,,Dayton,0.6557,1.6514,0.9957,,Minn. Duluth,0.3982,1.3022,0.904,,Mary Washington,0.4219,1.3749,0.953
Gonzaga,0.6845,1.5451,0.8606,,Tennessee,0.6363,1.4747,0.8384,,Washburn,0.3938,1.3748,0.981,,Roanoke,0.4064,1.3063,0.8999
Dayton,0.6412,1.6207,0.9795,,Duke,0.5605,1.3359,0.7754,,Coker,0.3846,1.5011,1.1165,,Ferrum,0.4059,1.3452,0.9393
Illinois,0.634,1.4343,0.8003,,Texas Tech,0.547,1.4352,0.8882,,Lake Erie,0.3663,1.3475,0.9812,,Loras,0.3954,1.3946,0.9992
Duke,0.6208,1.3798,0.759,,Kansas,0.5154,1.3882,0.8728,,Drury,0.3488,1.2137,0.8649,,Ursinus,0.3713,1.5068,1.1355
Kansas,0.6047,1.4306,0.8259,,Gonzaga,0.5085,1.428,0.9195,,Grand Valley St.,0.3459,1.2623,0.9164,,Drew,0.3661,1.2689,0.9028
Texas Tech,0.5423,1.4257,0.8834,,North Carolina,0.4749,1.3998,0.9249,,Valdosta St.,0.345,1.2754,0.9304,,Trinity (CT),0.3659,1.1424,0.7765
North Carolina,0.5298,1.4302,0.9004,,Mississippi St.,0.4718,1.3773,0.9055,,Lee,0.3339,1.5911,1.2572,,Trine,0.3654,1.263,0.8976
BYU,0.513,1.4774,0.9644,,Kentucky,0.4449,1.2917,0.8468,,CSU Pueblo,0.3246,1.1654,0.8408,,Wesleyan (CT),0.363,1.1423,0.7793
Mississippi St.,0.5129,1.3953,0.8824,,Florida,0.4318,1.4018,0.97,,Rogers St.,0.3032,1.3538,1.0506,,Amherst,0.3615,1.2277,0.8662
Marquette,0.5119,1.3728,0.8609,,VCU,0.4199,1.2708,0.8509,,Fairmont St.,0.2975,1.429,1.1315,,WPI,0.3525,1.1504,0.7979
Louisville,0.5116,1.2523,0.7407,,Marquette,0.4168,1.3189,0.9021,,Seton Hill,0.2945,1.0593,0.7648,,Chris. Newport,0.3434,1.3257,0.9823
Maryland,0.5023,1.3252,0.8229,,Pittsburgh,0.4158,1.3018,0.886,,Millersville,0.2935,1.3576,1.0641,,Pomona-Pitzer,0.34,1.433,1.093
Penn St.,0.5014,1.4148,0.9134,,Michigan,0.4127,1.2831,0.8704,,Bentley,0.2766,1.2779,1.0013,,Ohio Northern,0.3328,1.2639,0.9311
Kentucky,0.4976,1.326,0.8284,,Penn St.,0.4075,1.3631,0.9556,,Nova Southeastern,0.2676,1.2352,0.9676,,CWRU,0.3306,1.3413,1.0107
Utah,0.4966,1.3934,0.8968,,Louisville,0.4065,1.2075,0.801,,Columbus St.,0.2663,1.1114,0.8451,,Stevens,0.3293,1.3324,1.0031
Ohio St.,0.491,1.3828,0.8918,,Maryland,0.3974,1.2662,0.8688,,Vanguard,0.266,1.2244,0.9584,,Hamilton,0.3289,1.2723,0.9434
UTEP,0.4899,1.3345,0.8446,,Oklahoma,0.391,1.363,0.972,,Findlay,0.2575,1.3337,1.0762,,Marywood,0.3279,1.3467,1.0188
Michigan St.,0.4867,1.3276,0.8409,,West Virginia,0.3853,1.232,0.8467,,DBU,0.2414,1.1297,0.8883,,Me.-Farmington,0.3243,1.0912,0.7669
Pittsburgh,0.4769,1.3222,0.8453,,UIC,0.3842,1.3119,0.9277,,Westminster (UT),0.234,1.1094,0.8754,,Wooster,0.3216,1.1949,0.8733
TCNJ,0.468,1.3833,0.9153,,Arizona,0.3806,1.2927,0.9121,,Pace,0.2314,1.0222,0.7908,,UC Santa Cruz,0.3006,1.2282,0.9276
Arizona,0.4557,1.3401,0.8844,,Illinois,0.3759,1.2216,0.8457,,East Stroudsburg,0.2311,1.1359,0.9048,,WashU,0.2991,1.2109,0.9118
Murray St.,0.4535,1.3826,0.9291,,Alabama,0.375,1.3143,0.9393,,St. Mary's (TX),0.2239,1.1176,0.8937,,Ramapo,0.2941,1.197,0.9029
Utah St.,0.4518,1.2566,0.8048,,Northwestern,0.372,1.1858,0.8138,,Lenoir-Rhyne,0.2237,1.2631,1.0394,,Gwynedd Mercy,0.2939,1.2857,0.9918
Florida,0.4495,1.401,0.9515,,Purdue,0.37,1.3139,0.9439,,Winona St.,0.2233,1.1766,0.9533,,Bowdoin,0.2909,1.1405,0.8496
Alabama,0.449,1.3557,0.9067,,Ole Miss,0.3661,1.242,0.8759,,Lynn,0.2207,1.0939,0.8732,,NYU,0.2894,1.2295,0.9401
VCU,0.4461,1.2975,0.8514,,Utah St.,0.3633,1.2209,0.8576,,Mont. St. Billings,0.2183,1.1375,0.9192,,Wilkes,0.2871,1.1493,0.8622
Daemen,0.4444,1.3485,0.9041,,Rhode Island,0.3628,1.1463,0.7835,,Lewis,0.2003,1.452,1.2517,,Hanover,0.2838,1.3793,1.0955
Oklahoma,0.4438,1.391,0.9472,,Butler,0.3564,1.2803,0.9239,,Lincoln Memorial,0.1949,1.283,1.0881,,Brandeis,0.2748,1.2183,0.9435
West Virginia,0.4428,1.2727,0.8299,,BYU,0.3545,1.3391,0.9846,,Upper Iowa,0.1942,1.0559,0.8617,,St. Joseph's (ME),0.2691,1.249,0.9799
Purdue,0.4417,1.3519,0.9102,,Nevada,0.3534,1.3404,0.987,,MSU Denver,0.192,1.2312,1.0392,,Denison,0.2688,1.162,0.8932
Indiana,0.4373,1.368,0.9307,,Cincinnati,0.3531,1.3342,0.9811,,Northern Mich.,0.1914,1.1548,0.9634,,Middlebury,0.2677,1.2559,0.9882
Samford,0.4322,1.3175,0.8853,,UCLA,0.3493,1.1168,0.7675,,Alabama Huntsville,0.1904,1.2455,1.0551,,SUNY New Paltz,0.2661,1.3076,1.0415
Michigan,0.4253,1.2942,0.8689,,Clemson,0.3338,1.1703,0.8365,,MSU Moorhead,0.1841,1.202,1.0179,,Lewis & Clark,0.2591,0.9781,0.719
Clemson,0.4176,1.2029,0.7853,,Ohio St.,0.3332,1.2514,0.9182,,Assumption,0.1765,1.0835,0.907,,Rutgers-Newark,0.2583,1.156,0.8977
UC Santa Barbara,0.4115,1.3156,0.9041,,TCU,0.333,1.1969,0.8639,,Southwest Minn. St.,0.1735,1.1912,1.0177,,Catholic,0.2572,1.3655,1.1083
Colo. Sch. of Mines,0.4115,1.4275,1.016,,Boise St.,0.3297,1.3249,0.9952,,St. Cloud St.,0.1724,1.1887,1.0163,,Averett,0.2571,1.2143,0.9572
Ole Miss,0.4098,1.2688,0.859,,Michigan St.,0.3289,1.2108,0.8819,,Hillsdale,0.1721,1.2574,1.0853,,Marietta,0.2531,1.3593,1.1062
Rhode Island,0.4094,1.1758,0.7664,,Iowa,0.3215,1.1448,0.8233,,Malone,0.1717,1.3767,1.205,,Oswego St.,0.251,1.2032,0.9522
Oregon,0.4028,1.2951,0.8923,,Utah,0.3209,1.2402,0.9193,,Charleston (WV),0.1708,1.3771,1.2063,,UChicago,0.2495,1.1688,0.9193
Boise St.,0.4,1.3656,0.9656,,UConn,0.3161,1.1902,0.8741,,Concordia-St. Paul,0.1604,1.2084,1.048,,Wis.-La Crosse,0.2494,1.1804,0.931
Drake,0.3938,1.2079,0.8141,,Georgia,0.3069,1.2793,0.9724,,Michigan Tech,0.1597,1.119,0.9593,,Scranton,0.2487,1.0418,0.7931
Va. Wesleyan,0.3932,1.0813,0.6881,,Memphis,0.3006,1.2343,0.9337,,Caldwell,0.159,1.169,1.01,,Montclair St.,0.247,1.2941,1.0471
Arkansas,0.3897,1.254,0.8643,,UC Irvine,0.2978,1.2001,0.9023,,Miles,0.1583,1.1323,0.974,,Wis.-Stevens Point,0.2468,1.0564,0.8096
UIC,0.3877,1.2764,0.8887,,San Diego St.,0.2958,1.2065,0.9107,,Dominican (NY),0.1534,0.8458,0.6924,,Wis.-Platteville,0.2459,1.264,1.0181
Butler,0.3838,1.2835,0.8997,,St. John's (NY),0.2849,1.2241,0.9392,,Rockhurst,0.151,1.1151,0.9641,,Colby,0.2397,1.291,1.0513
Lubbock Christian,0.3832,1.3372,0.954,,Arkansas,0.2844,1.1956,0.9112,,Tampa,0.1479,1.1501,1.0022,,Schreiner,0.2337,1.0706,0.8369
Davidson,0.3795,1.3612,0.9817,,Drake,0.2694,1.1579,0.8885,,Western Wash.,0.1445,1.1985,1.054,,Keene St.,0.231,1.1362,0.9052
Nevada,0.3781,1.3651,0.987,,North Texas,0.2688,1.14,0.8712,,St. Edward's,0.1426,1.1123,0.9697,,DeSales,0.2289,1.3418,1.1129
Northwestern,0.3763,1.1952,0.8189,,LSU,0.265,1.1264,0.8614,,Palm Beach Atl.,0.1374,1.0329,0.8955,,Ill. Wesleyan,0.2278,1.145,0.9172
La Salle,0.3757,1.2816,0.9059,,Colorado,0.2634,1.233,0.9696,,Biola,0.1361,1.0828,0.9467,,Emory,0.2249,1.1367,0.9118
Minn. Duluth,0.3668,1.2673,0.9005,,San Francisco,0.2609,1.1646,0.9037,,Midwestern St.,0.1349,1.118,0.9831,,Guilford,0.2202,1.3019,1.0817
NC State,0.3607,1.1966,0.8359,,Florida St.,0.2585,1.0856,0.8271,,Young Harris,0.134,1.0675,0.9335,,Rivier,0.2152,1.2821,1.0669
UC Irvine,0.3594,1.3227,0.9633,,Wyoming,0.2517,1.2105,0.9588,,Lake Superior St.,0.1332,1.0774,0.9442,,Randolph,0.2142,1.1584,0.9442
UCLA,0.3593,1.1201,0.7608,,Bradley,0.2514,1.3551,1.1037,,Ill. Springfield,0.1331,1.1971,1.064,,Cal Lutheran,0.2112,1.1522,0.941
Loras,0.3537,1.4001,1.0464,,Murray St.,0.2475,1.2594,1.0119,,Ashland,0.1318,1.0694,0.9376,,Chapman,0.2105,1.2002,0.9897
Valdosta St.,0.3521,1.1902,0.8381,,Colorado St.,0.2453,1.2674,1.0221,,Missouri Western,0.1257,1.1449,1.0192,,Dubuque,0.2096,1.2208,1.0112
Iowa,0.352,1.174,0.822,,Oregon St.,0.2389,1.2533,1.0144,,Adelphi,0.1256,1.1097,0.9841,,Mount Union,0.2093,1.2494,1.0401
Abilene Christian,0.352,1.3331,0.9811,,New Mexico,0.238,1.2217,0.9837,,Black Hills St.,0.1254,1.0877,0.9623,,Williams,0.208,1.0597,0.8517
ETSU,0.3516,1.19,0.8384,,UNLV,0.238,1.1738,0.9358,,Central Mo.,0.124,1.1837,1.0597,,Tufts,0.2066,1.1651,0.9585
TCU,0.3461,1.2065,0.8604,,SMU,0.2358,1.1852,0.9494,,Lincoln (PA),0.1239,1.1653,1.0414,,Dean,0.2009,0.9858,0.7849
San Francisco,0.3449,1.2158,0.8709,,Liberty,0.2352,1.1908,0.9556,,Regis (CO),0.1212,1.3881,1.2669,,New Jersey City,0.1979,1.042,0.8441
Memphis,0.3439,1.2565,0.9126,,Villanova,0.2345,1.2581,1.0236,,St. Anselm,0.1205,1.1242,1.0037,,Rensselaer,0.1977,1.0313,0.8336
Cincinnati,0.3413,1.329,0.9877,,UC Santa Barbara,0.2331,1.2168,0.9837,,Cal Poly Pomona,0.1187,1.072,0.9533,,Roger Williams,0.1973,1.3578,1.1605
Bradley,0.3388,1.3673,1.0285,,Washington St.,0.232,1.1793,0.9473,,CUI,0.1183,1.1123,0.994,,Susquehanna,0.196,1.1582,0.9622
UConn,0.3378,1.2008,0.863,,Oregon,0.229,1.2449,1.0159,,Okla. Baptist,0.1175,1.0501,0.9326,,Albright,0.1901,1.0118,0.8217
James Madison,0.326,1.367,1.041,,James Madison,0.2211,1.2962,1.0751,,West Liberty,0.1175,1.1194,1.0019,,Widener,0.1879,1.0248,0.8369
Grand Valley St.,0.3195,1.2857,0.9662,,Oklahoma St.,0.2208,1.248,1.0272,,Ouachita Baptist,0.1175,1.073,0.9555,,Wis. Lutheran,0.1876,1.1468,0.9592
