Home_Team,Away_Team,Home_ppp,Away_ppp,Division
Southern Ill.,Col. of Charleston,1.14,1.29,1.0
Middle Tenn.,Oglethorpe,1.49,0.73,1.0
Jacksonville St.,LaGrange,1.49,0.63,1.0
Santa Clara,Saint Louis,1.29,1.18,1.0
Stanford,Denver,1.24,0.87,1.0
Wofford,Erskine,1.37,0.73,1.0
Stonehill,Framingham St.,1.18,0.85,1.0
Harvard,Marist,1.42,1.12,1.0
Hofstra,Old Westbury,1.24,0.84,1.0
Liberty,Valparaiso,1.57,1.17,1.0
Temple,Sacred Heart,1.25,1.08,1.0
UMass Lowell,Rivier,1.58,0.79,1.0
South Dakota St.,McNeese,1.08,0.99,1.0
VMI,Washington Col.,1.8,0.82,1.0
Drexel,Georgian Court,1.5,0.67,1.0
Purdue,A&M-Corpus Christi,1.29,1.04,1.0
App State,Miami (OH),0.93,1.13,1.0
Delaware,Bucknell,1.16,1.35,1.0
St. John's (NY),Fordham,1.27,0.82,1.0
Niagara,Houghton,1.56,0.88,1.0
Winthrop,Piedmont,1.61,1.02,1.0
Butler,Missouri St.,1.09,0.98,1.0
Cincinnati,Ark.-Pine Bluff,1.74,0.98,1.0
Troy,Toledo,1.23,0.98,1.0
ETSU,Newberry,1.11,0.75,1.0
Morgan St.,Frostburg St.,1.27,0.97,1.0
Louisville,Morehead St.,1.3,0.58,1.0
East Carolina,N.C. Wesleyan,1.44,0.89,1.0
Georgia St.,Ball St.,0.91,0.85,1.0
Providence,Central Conn. St.,1.02,0.95,1.0
St. Bonaventure,CSUN,1.04,0.71,1.0
Tennessee,Gardner-Webb,1.39,0.86,1.0
Saint Joseph's,Navy,1.08,0.97,1.0
Dayton,Saint Francis,1.7,1.09,1.0
West Virginia,Robert Morris,1.33,0.8,1.0
South Carolina,North Florida,1.16,1.21,1.0
Siena,Brown,0.99,1.0,1.0
Ga. Southern,NIU,1.25,0.98,1.0
Princeton,Iona,1.27,1.25,1.0
Purdue Fort Wayne,Bluffton,1.49,0.75,1.0
Coastal Carolina,Western Mich.,1.15,1.08,1.0
Duke,Maine,1.32,0.93,1.0
UNC Greensboro,FGCU,1.3,1.14,1.0
Florida St.,Northern Ky.,1.13,0.87,1.0
Clemson,Charleston So.,1.44,0.88,1.0
Loyola Maryland,Columbia,1.11,1.16,1.0
Mount St. Mary's,Notre Dame (MD),1.27,0.83,1.0
UCF,Texas A&M,1.02,0.97,1.0
Old Dominion,Buffalo,1.28,1.3,1.0
James Madison,Ohio,1.5,1.12,1.0
Maryland,Manhattan,1.3,0.81,1.0
Kentucky,Wright St.,1.46,0.8,1.0
Davidson,William Peace,1.35,0.75,1.0
La Salle,American,1.18,0.95,1.0
Syracuse,Le Moyne,1.16,1.11,1.0
Michigan St.,Monmouth,1.19,0.84,1.0
Dartmouth,VTSU Lyndon,1.86,0.54,1.0
VCU,Bellarmine,1.47,1.15,1.0
NJIT,Penn,0.89,0.91,1.0
UNCW,Mount Olive,2.0,1.19,1.0
Miami (FL),FDU,1.6,1.04,1.0
NC State,USC Upstate,1.29,0.92,1.0
William & Mary,Dickinson,1.14,0.44,1.0
Queens (NC),Lynchburg,1.12,0.41,1.0
George Mason,N.C. Central,1.21,0.88,1.0
Massachusetts,New Hampshire,1.37,0.97,1.0
Pittsburgh,Radford,1.46,0.9,1.0
Marshall,Davis & Elkins,1.41,0.8,1.0
Cornell,Marywood,1.79,0.79,1.0
Milwaukee,Lakeland,1.84,1.04,1.0
Mississippi St.,West Ga.,1.46,0.88,1.0
Belmont,Maryville (TN),1.56,1.22,1.0
UAB,Vermont,0.93,1.0,1.0
Samford,Mississippi Col.,1.36,0.73,1.0
Fla. Atlantic,Indiana St.,1.42,0.93,1.0
Boston U.,Northeastern,1.2,1.33,1.0
Xavier,Texas Southern,1.07,0.95,1.0
Seton Hall,Saint Peter's,0.84,0.78,1.0
Georgia,Tennessee Tech,1.19,1.11,1.0
Longwood,Randolph,1.26,0.91,1.0
Campbell,Pfeiffer,1.22,0.65,1.0
Penn St.,Binghamton,1.69,0.92,1.0
Utah Valley,Western Colo.,1.43,0.73,1.0
Bryant,Dean,1.43,0.86,1.0
Yale,Quinnipiac,1.45,0.96,1.0
Charlotte,Presbyterian,1.6,1.44,1.0
