,Date,Time,Event,Location,Away_Seed,Away_Team,Away_Score,Home_Seed,Home_Team,Home_Score,Away_Wins,Away_Losses,Home_Wins,Home_Losses,Away_id,Home_id,Game_id
0,2024-11-04,11:00 AM,Regular Season,IU Indy,,IU Columbus,44,,IU Indy,100,,,1,0,,590497,5723596
1,2024-11-04,12:00 PM,2024-25 MBB Field of 68 Opening Day Showcase,"Sioux Falls, SD ",,Col. of Charleston,90,,Southern Ill.,80,1,0,0,1,590799,590730,5731627
2,2024-11-04,12:00 PM,Regular Season,UT Arlington,,UNT Dallas,55,,UT Arlington,90,,,1,0,,590753,5736787
3,2024-11-04,12:00 PM,Regular Season,Middle Tenn.,,Oglethorpe,51,,Middle Tenn.,97,0,0,1,0,591330,590566,5734927
4,2024-11-04,12:30 PM,Regular Season,Jacksonville St.,,LaGrange,48,,Jacksonville St.,112,0,0,1,0,591303,590475,5725865
5,2024-11-04,03:00 PM,2024-25 MBB Field of 68 Opening Day Showcase,"Sioux Falls, SD ",,Saint Louis,78,,Santa Clara,85,0,1,1,0,590706,590719,5729874
6,2024-11-04,04:00 PM,Regular Season,Stanford,,Denver,62,,Stanford,85,0,1,1,0,590613,590739,5723413
7,2024-11-04,04:00 PM,Regular Season,UMBC,,Penn St.-York,66,,UMBC,95,,,1,0,,590556,5810587
8,2024-11-04,05:00 PM,Regular Season,Wofford,,Erskine,58,,Wofford,112,0,0,1,0,591101,590501,5730457
9,2024-11-04,05:00 PM,Regular Season,Stonehill,,Framingham St.,62,,Stonehill,81,0,0,1,0,591476,590795,5730092
10,2024-11-04,05:00 PM,Regular Season,Harvard,,Marist,66,,Harvard,79,0,1,1,0,590553,590642,5725910
11,2024-11-04,05:00 PM,Regular Season,Hofstra,,Old Westbury,62,,Hofstra,89,0,0,1,0,591186,590644,5722898
12,2024-11-04,05:00 PM,2024-25 MBB Total Athlete Tip-Off,"Xenia, OH ",,Valparaiso,63,,Liberty,83,0,1,1,0,590767,590485,5728515
13,2024-11-04,05:30 PM,Regular Season,Temple,,Sacred Heart,70,,Temple,81,0,1,1,0,590701,590743,5729914
14,2024-11-04,06:00 PM,Regular Season,UMass Lowell,,Rivier,59,,UMass Lowell,115,0,0,1,0,591356,590490,5740730
15,2024-11-04,06:00 PM,2024-25 MBB Field of 68 Opening Day Showcase,"Sioux Falls, SD ",,McNeese,73,,South Dakota St.,80,0,1,1,0,590805,590822,5730885
16,2024-11-04,06:00 PM,Regular Season,VMI,,Washington Col.,54,,VMI,103,0,0,1,0,591251,590771,5735701
17,2024-11-04,06:00 PM,Regular Season,Drexel,,Georgian Court,43,,Drexel,95,0,0,1,0,590867,590615,5733118
18,2024-11-04,06:00 PM,Regular Season,Purdue,,A&M-Corpus Christi,73,,Purdue,90,0,1,1,0,590505,590692,5735649
19,2024-11-04,06:30 PM,Regular Season,App State,,Miami (OH),77,,App State,63,1,0,0,1,590562,590517,5723831
20,2024-11-04,06:30 PM,Regular Season,Delaware,,Bucknell,85,,Delaware,73,1,0,0,1,590537,590612,5732712
21,2024-11-04,06:30 PM,Regular Season,St. John's (NY),,Fordham,60,,St. John's (NY),92,0,1,1,0,590631,590704,5732758
22,2024-11-04,06:30 PM,Regular Season,Niagara,,Houghton,65,,Niagara,100,0,0,1,0,591388,590656,5737728
23,2024-11-04,06:30 PM,Regular Season,Winthrop,,Piedmont,65,,Winthrop,125,0,0,1,0,591358,590784,5738140
24,2024-11-04,06:45 PM,Regular Season,Butler,,Missouri St.,65,,Butler,72,0,1,1,0,590736,590539,5732970
25,2024-11-04,07:00 PM,Regular Season,Kansas City,,Hannibal-La Grange,68,,Kansas City,91,,,1,0,,590498,5723528
26,2024-11-04,07:00 PM,Regular Season,Cincinnati,,Ark.-Pine Bluff,54,,Cincinnati,109,0,1,1,0,590496,590596,5737993
27,2024-11-04,07:00 PM,Regular Season,Troy,,Toledo,74,,Troy,84,0,1,1,0,590757,590759,5736140
28,2024-11-04,07:00 PM,Regular Season,Prairie View,,Biblical Stud. (TX),90,,Prairie View,111,,,1,0,,590689,5740663
29,2024-11-04,07:00 PM,Regular Season,ETSU,,Newberry,51,,ETSU,72,0,0,1,0,590847,590618,5809645
30,2024-11-04,07:00 PM,Regular Season,Morgan St.,,Frostburg St.,76,,Morgan St.,89,0,0,1,0,591074,590574,5810581
31,2024-11-04,07:00 PM,Regular Season,Stetson,,New College (FL),75,,Stetson,94,,,1,0,,590823,5810321
32,2024-11-04,07:00 PM,Regular Season,Louisville,,Morehead St.,45,,Louisville,93,0,1,1,0,590807,590489,5722140
33,2024-11-04,07:00 PM,Regular Season,East Carolina,,N.C. Wesleyan,70,,East Carolina,97,0,0,1,0,591178,590617,5722009
34,2024-11-04,07:00 PM,Regular Season,Georgia St.,,Ball St.,66,,Georgia St.,71,0,1,1,0,590524,590637,5723620
35,2024-11-04,07:00 PM,Regular Season,Providence,,Central Conn. St.,55,,Providence,59,0,1,1,0,590592,590691,5728495
36,2024-11-04,07:00 PM,Regular Season,St. Bonaventure,,CSUN,56,,St. Bonaventure,70,0,1,1,0,590544,590702,5730021
37,2024-11-04,07:00 PM,Regular Season,Tennessee,,Gardner-Webb,64,,Tennessee,80,0,1,1,0,590492,590747,5723144
38,2024-11-04,07:00 PM,Regular Season,Saint Joseph's,,Navy,63,,Saint Joseph's,70,0,1,1,0,590764,590705,5728274
39,2024-11-04,07:00 PM,Regular Season,Dayton,,Saint Francis,57,,Dayton,87,0,1,1,0,590703,590609,5729896
40,2024-11-04,07:00 PM,Regular Season,West Virginia,,Robert Morris,59,,West Virginia,87,0,1,1,0,590699,590778,5730270
41,2024-11-04,07:00 PM,Regular Season,South Carolina,,North Florida,74,,South Carolina,71,1,0,0,1,590499,590724,5722529
42,2024-11-04,07:00 PM,Regular Season,Siena,,Brown,71,,Siena,72,0,1,1,0,590535,590721,5722289
43,2024-11-04,07:00 PM,Regular Season,Ga. Southern,,NIU,65,,Ga. Southern,80,0,1,1,0,590668,590636,5728493
44,2024-11-04,07:00 PM,Regular Season,Princeton,,Iona,80,,Princeton,81,0,1,1,0,590472,590690,5728233
